# 2026-07-24T11:10:41Z load: 27.91 21.38 13.27 28/432 3216345
label	col	dict	level	blocks	pages	rawMB	storedMB	ratio	bPerPage	encMBps	decMBps	trainMS
server3	text	none	1	20	40624	312.8	113.3	0.3621	2924	28	143	0
server3	text	none	3	20	40624	312.8	105.4	0.3368	2719	33	208	0
server3	text	raw	1	20	40624	312.8	113.3	0.3621	2923	77	74	0
server3	text	raw	3	20	40624	312.8	105.3	0.3367	2719	22	135	0
server3	outlinks	none	1	14	40073	213.2	114.8	0.5388	3005	79	375	0
server3	outlinks	none	3	14	40073	213.2	108.2	0.5075	2831	42	286	0
server3	outlinks	raw	1	14	40073	213.2	114.8	0.5386	3004	33	115	0
server3	outlinks	raw	3	14	40073	213.2	108.2	0.5075	2831	19	244	0
