# 2026-07-24T10:20:13Z load: 51.59 26.96 18.53 3/404 3188533
label	col	dict	level	blocks	pages	rawMB	storedMB	ratio	bPerPage	encMBps	decMBps	trainMS
server3	text	none	1	20	40624	312.8	113.3	0.3621	2924	91	202	0
server3	text	none	3	20	40624	312.8	105.4	0.3368	2719	65	306	0
server3	text	raw	1	20	40624	312.8	113.3	0.3621	2923	95	190	0
server3	text	raw	3	20	40624	312.8	105.3	0.3367	2719	51	149	0
server3	outlinks	none	1	14	40073	213.2	114.8	0.5388	3005	116	684	0
server3	outlinks	none	3	14	40073	213.2	108.2	0.5075	2831	70	617	0
server3	outlinks	raw	1	14	40073	213.2	114.8	0.5386	3004	120	465	0
server3	outlinks	raw	3	14	40073	213.2	108.2	0.5075	2831	66	398	0
