# host: server3  Linux x86_64   AMD EPYC Processor (with IBPB)
# columns: label arm block width_or_tier postings M/s GBin/s GBout/s
server3	cref	128	w10	327155712	459.0	0.574	1.836
server3	cref	128	w12	360710144	508.1	0.762	2.032
server3	cref	128	w16	301989888	421.6	0.843	1.686
server3	cref	128	w20	243269632	340.8	0.852	1.363
server3	cref	128	w24	209715200	294.5	0.884	1.178
server3	cref	128	w28	192937984	274.5	0.961	1.098
server3	cref	128	w32	159383552	220.5	0.882	0.882
server3	cref	256	w1	545259520	773.2	0.097	3.093
server3	cref	256	w2	503316480	714.3	0.179	2.857
server3	cref	256	w3	411041792	580.9	0.218	2.324
server3	cref	256	w4	494927872	704.2	0.352	2.817
server3	cref	256	w5	427819008	600.1	0.375	2.400
server3	cref	256	w6	394264576	553.0	0.415	2.212
server3	cref	256	w7	411041792	575.9	0.504	2.303
server3	cref	256	w8	394264576	550.6	0.551	2.203
server3	cref	256	w10	360710144	514.1	0.643	2.056
server3	cref	256	w12	360710144	512.8	0.769	2.051
server3	cref	256	w16	318767104	451.8	0.904	1.807
server3	cref	256	w20	243269632	345.2	0.863	1.381
server3	cref	256	w24	218103808	303.7	0.911	1.215
server3	cref	256	w28	218103808	306.6	1.073	1.227
server3	cref	256	w32	192937984	271.4	1.086	1.086
